2024-02-02 12:37:38.886 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale_stock/models/sale_order_line.py
2024-02-02 12:37:43.310 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale_stock/models/sale_order_line.py
2024-02-02 12:37:45.558 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale_stock/models/sale_order_line.py
2024-02-02 12:38:10.934 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale_stock/models/sale_order_line.py
2024-02-02 12:38:20.190 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale_stock/models/sale_order_line.py
2024-02-02 12:38:40.165 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale_stock/models/sale_order_line.py
2024-02-02 12:38:42.263 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale_stock/models/sale_order_line.py
2024-02-02 12:43:39.802 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale_stock/models/sale_order_line.py
2024-02-02 12:43:41.429 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale_stock/models/sale_order_line.py
2024-02-02 12:43:44.334 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale_stock/models/sale_order_line.py
2024-02-02 12:43:52.086 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale_stock/models/sale_order_line.py
2024-02-02 12:45:17.993 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale_stock/models/sale_order_line.py
2024-02-02 12:50:22.706 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale_stock/models/sale_order_line.py
2024-02-02 12:50:24.735 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale_stock/models/sale_order_line.py
2024-02-02 12:50:26.953 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale_stock/models/sale_order_line.py
2024-02-02 12:50:29.739 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale_stock/models/sale_order_line.py
2024-02-02 12:50:34.409 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale_stock/models/sale_order_line.py
2024-02-02 12:55:50.678 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale_stock/models/sale_order_line.py
2024-02-02 12:55:56.340 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale_stock/models/sale_order_line.py
2024-02-02 13:00:02.809 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale_stock/models/sale_order_line.py
2024-02-02 13:00:14.693 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale_stock/models/sale_order_line.py
2024-02-02 13:00:18.286 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale_stock/models/sale_order_line.py
2024-02-02 13:00:21.919 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale_stock/models/sale_order_line.py
2024-02-02 13:00:35.782 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale_stock/models/sale_order_line.py
2024-02-02 13:00:38.723 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale_stock/models/sale_order_line.py
2024-02-02 13:00:53.238 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale_stock/models/sale_order_line.py
